               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09854,            0.044615,            0.032457,           0.0010372,            0.060796,           0.0010579,          0.00026013,            0.095095,            0.029719,            0.030784,            0.070052,           0.0033275,           0.0033275
                   1,            0.091947,            0.045138,            0.028887,            0.028852,            0.089417,           0.0072535,           0.0018658,            0.087094,             0.03699,            0.026471,            0.039986,           0.0065949,           0.0065949
                   2,            0.080723,            0.043513,            0.024672,             0.21933,            0.088702,            0.067151,            0.020516,            0.075449,            0.030164,            0.021472,           0.0098544,           0.0097963,           0.0097963
                   3,            0.073262,            0.042141,             0.01983,             0.20617,             0.15973,             0.11359,            0.040894,            0.068939,            0.029819,            0.016148,            0.009703,            0.009703,            0.009703
                   4,            0.068844,            0.041303,            0.016762,             0.32986,             0.21681,              0.1838,            0.069664,            0.065068,            0.029097,            0.013521,            0.009703,            0.009703,            0.009703
                   5,             0.06638,            0.041012,            0.015449,             0.36934,             0.22809,             0.21491,            0.083696,            0.062447,            0.028625,            0.012092,            0.009604,            0.009604,            0.009604
                   6,            0.064845,             0.04081,            0.014306,             0.45501,             0.24669,             0.25779,              0.1022,            0.060293,            0.028455,            0.010773,            0.009505,            0.009505,            0.009505
                   7,            0.063423,            0.039839,            0.013518,              0.4665,             0.26164,             0.28143,             0.11347,            0.059164,            0.028246,            0.009901,            0.009406,            0.009406,            0.009406
                   8,            0.062209,            0.040052,            0.012882,             0.46369,             0.28908,             0.30024,             0.12852,            0.058862,            0.028148,            0.010048,            0.009307,            0.009307,            0.009307
                   9,            0.061205,            0.039701,            0.012186,             0.50237,             0.29643,             0.31757,              0.1429,            0.056692,            0.027793,           0.0090475,            0.009208,            0.009208,            0.009208
                  10,            0.060462,            0.039222,            0.011911,             0.51807,             0.28512,             0.31773,             0.13999,            0.056773,             0.02792,           0.0090291,            0.009109,            0.009109,            0.009109
